force,stroke
0.1430511,0
0.1430511,0
0.1430511,2.08E-05
0.1430511,4.17E-05
0.1430511,0.000114583
0.1589457,0.000239583
0.1589457,0.00040625
0.1589457,0.000572917
0.1589457,0.00075
0.1589457,0.000916667
0.1430511,0.00109375
0.1430511,0.001260417
0.1430511,0.001427083
0.1430511,0.001604167
0.1430511,0.001770833
0.1430511,0.0019375
0.1430511,0.002114583
0.1430511,0.00228125
0.1430511,0.002447917
0.1430511,0.002604167
0.1430511,0.00278125
0.1430511,0.002947917
0.1430511,0.003114583
0.1430511,0.00328125
0.1430511,0.003447917
0.1430511,0.003614583
0.1430511,0.00378125
0.1589457,0.003947916
0.1589457,0.004114583
0.1589457,0.00428125
0.1589457,0.004447917
0.1589457,0.004614583
0.1589457,0.00478125
0.1589457,0.004947917
0.1589457,0.005114583
0.1589457,0.00528125
0.1589457,0.005447917
0.1589457,0.005604167
0.1589457,0.005760416
0.1589457,0.005927083
0.1589457,0.006083333
0.1589457,0.006239583
0.1589457,0.00640625
0.1589457,0.0065625
0.1589457,0.006729166
0.1589457,0.006895833
6.985664,0.007072917
8.384387,0.007239583
10.51426,0.007416666
12.42955,0.007583333
14.4879,0.007760417
17.07872,0.007927083
19.37548,0.00809375
21.3623,0.008260417
23.30144,0.0084375
25.58231,0.008604167
27.74397,0.008770833
29.76259,0.008937499
32.09114,0.009104166
34.13359,0.009270833
36.54162,0.009447916
38.49665,0.009614583
40.27684,0.00978125
42.54977,0.009947916
44.92601,0.01011458
46.76978,0.01028125
48.89965,0.01044792
50.91031,0.01061458
52.76203,0.01078125
55.09059,0.01094792
57.13304,0.01111458
59.0086,0.01128125
61.18615,0.01144792
63.65776,0.01161458
65.5969,0.01178125
67.23404,0.0119375
69.45133,0.01210417
71.07258,0.01227083
72.9084,0.0124375
74.95085,0.01260417
76.92178,0.01277083
79.2106,0.0129375
81.34842,0.01310417
83.12067,0.01327083
85.17107,0.0134375
87.44398,0.01360417
89.69307,0.01377083
91.66399,0.0139375
93.45213,0.01410417
95.62174,0.01427083
97.65625,0.0144375
99.62717,0.01460417
101.5981,0.01478125
103.3545,0.01494792
105.54,0.01511458
108.1467,0.01528125
110.4037,0.01544792
112.3826,0.01561458
114.6793,0.01578125
117.0158,0.01594792
119.7338,0.01611458
121.9273,0.01628125
123.8505,0.01644792
125.7817,0.01661458
127.9434,0.01678125
130.113,0.01694792
132.2349,0.01711458
134.7383,0.01728125
137.1702,0.01744792
139.4431,0.01761458
141.8988,0.01778125
143.9969,0.01794792
146.1029,0.01811458
148.2805,0.01828125
150.8633,0.01844792
153.1363,0.01861458
154.8529,0.01878125
156.6092,0.01895833
159.2557,0.019125
161.0676,0.01929167
163.6585,0.01945833
166.3526,0.019625
168.5063,0.01979167
170.7713,0.01995833
172.9727,0.020125
175.2059,0.02029167
177.5185,0.02045833
179.704,0.020625
181.5558,0.02079167
183.3916,0.02095833
185.7996,0.021125
188.0566,0.02129167
189.8607,0.02145833
192.4515,0.021625
194.9072,0.02179167
196.7112,0.02195833
198.7457,0.022125
201.0743,0.02229167
202.9498,0.02245833
204.9764,0.02261458
207.4639,0.02278125
209.5143,0.02294792
211.2548,0.02311458
213.4085,0.02328125
215.6734,0.02344792
217.9066,0.02361458
220.0127,0.02378125
221.928,0.02394792
223.6048,0.02411458
225.838,0.02428125
227.6818,0.02444792
230.0103,0.02461458
232.1164,0.02478125
234.1588,0.02494792
236.1536,0.02511458
238.0848,0.02528125
240.3816,0.02544792
242.5512,0.02561458
244.84,0.02578125
246.4135,0.02594792
248.6785,0.02611458
250.6336,0.02628125
252.6124,0.02644792
254.933,0.02661458
256.6735,0.02678125
258.9067,0.02694792
261.0127,0.02711458
262.9518,0.02728125
264.74,0.02744792
266.9414,0.02761458
269.0315,0.02778125
270.9786,0.02794792
272.886,0.02811458
274.9602,0.02828125
277.2172,0.02844792
279.2915,0.02861458
281.628,0.02878125
283.3684,0.02894792
285.2281,0.02911458
287.4056,0.02928125
289.4402,0.02944792
290.9342,0.02961458
292.8813,0.02978125
294.8443,0.02994792
297.3636,0.03011458
299.2074,0.03028125
301.4088,0.03044792
303.4671,0.03061458
305.5016,0.03078125
307.1467,0.03094792
309.0064,0.03111458
311.4144,0.03128125
313.7668,0.03144792
315.9603,0.03161458
317.5974,0.03178125
319.8703,0.03194791
322.1035,0.03211458
323.7565,0.03228125
325.9818,0.03244792
327.6984,0.03261458
329.7567,0.03278125
331.9581,0.03294792
333.6429,0.03311458
335.3675,0.03327083
337.8948,0.0334375
339.8816,0.03360417
341.3916,0.03377083
343.4897,0.0339375
345.4924,0.03410416
347.4871,0.03427083
349.6885,0.0344375
351.421,0.03460417
353.6463,0.03477083
355.657,0.0349375
357.7948,0.03511458
359.8213,0.03528125
361.4426,0.03544792
363.5486,0.03561458
365.2096,0.03578125
367.0772,0.03594792
368.9051,0.03611458
370.8601,0.03628125
372.7675,0.03644792
374.9688,0.03661458
376.9875,0.03678125
379.0537,0.03694792
380.6671,0.03711458
382.7175,0.03728125
384.5135,0.03744791
386.7388,0.03761458
388.6938,0.03778125
390.2674,0.03794792
391.9363,0.03811458
393.7483,0.03828125
395.8066,0.03844792
397.6584,0.03861458
399.7087,0.03878125
401.8148,0.03894792
403.444,0.03911458
405.2401,0.03928125
407.513,0.03944791
409.8972,0.03961458
411.5979,0.03979167
413.1873,0.03995833
415.1901,0.040125
417.3755,0.04029167
418.9809,0.04045833
421.0949,0.040625
423.1533,0.04079167
425.4023,0.04095833
426.9282,0.041125
428.5733,0.04129167
430.3932,0.04145833
432.3641,0.041625
434.2,0.04179167
435.8212,0.04195833
438.0862,0.042125
440.0333,0.04229167
441.8532,0.04245833
443.8082,0.042625
446.0255,0.04279166
448.0442,0.04295833
449.7448,0.043125
451.3105,0.04329167
453.2337,0.04345833
455.2682,0.043625
457.3266,0.04379167
459.2498,0.04394792
460.7598,0.04411458
462.7307,0.04428125
465.1467,0.04444792
466.903,0.04461458
468.715,0.04478125
471.274,0.04494791
473.7377,0.04511458
475.1205,0.04528125
477.1789,0.04544792
479.3087,0.04561458
481.4943,0.04578125
483.8387,0.04594792
486.2388,0.04611458
488.2495,0.04628125
490.2363,0.04644792
492.4138,0.04661458
494.2894,0.04678125
496.6736,0.04694792
498.8591,0.04711458
501.132,0.04728125
503.0234,0.04744792
505.2646,0.04761458
507.4501,0.04778125
509.5084,0.04794792
511.9721,0.04811458
514.0066,0.04828125
516.0332,0.04844791
518.1392,0.04861458
520.3644,0.04878125
522.5261,0.04894792
524.6241,0.04911458
526.7144,0.04928125
528.9793,0.04944792
530.7119,0.04961458
532.8257,0.04978125
535.3768,0.04994792
537.4034,0.05011458
539.7241,0.05028125
541.5917,0.05044791
543.5864,0.05061458
546.2408,0.05078125
548.3707,0.05094792
550.6754,0.05111458
552.6622,0.05128125
555.0782,0.05144792
557.1525,0.05161458
558.7021,0.05178125
561.0704,0.05194792
563.8599,0.05211458
565.8547,0.05228125
567.5237,0.05244792
569.5184,0.05261458
571.6165,0.05278125
574.0325,0.05294792
576.4484,0.05311458
578.5624,0.05328125
580.8831,0.05344792
583.0685,0.05361458
584.8408,0.05378125
587.0024,0.05394791
589.4105,0.05410416
591.2781,0.05427083
593.2252,0.0544375
595.6094,0.05460417
597.5962,0.05477083
599.3207,0.0549375
601.8321,0.05510417
604.2242,0.05527083
605.9329,0.0554375
607.9276,0.05560417
610.2324,0.05577083
612.1794,0.0559375
614.0868,0.05610416
616.0815,0.05627083
618.1161,0.05644792
620.7307,0.05661458
622.3202,0.05678125
624.1957,0.05694792
626.2382,0.05711458
628.4554,0.05728125
631.0463,0.05744792
632.9615,0.05761458
634.8848,0.05778125
636.7445,0.05794792
638.5883,0.05811458
640.9645,0.05828125
642.7129,0.05844792
644.8666,0.05861458
647.0998,0.05878125
649.0946,0.05894792
650.7397,0.05911458
652.8298,0.05928125
654.8484,0.05944791
656.7161,0.05961458
658.9651,0.05978125
660.6023,0.05994792
662.6368,0.06011458
664.9733,0.06028125
667.0157,0.06045833
668.629,0.060625
670.4886,0.06079167
672.5391,0.06095833
674.7405,0.061125
676.9896,0.06129166
679.1432,0.06145833
681.1619,0.061625
683.0692,0.06179167
685.0084,0.06195833
686.6932,0.062125
688.8707,0.06229167
691.1675,0.06245833
692.8285,0.062625
694.9266,0.06279167
696.5717,0.06295833
698.6618,0.063125
700.8076,0.06329167
702.7388,0.06345833
705.0753,0.063625
707.0065,0.06379166
708.7787,0.06395833
710.6542,0.064125
712.8,0.06429166
714.612,0.06445833
716.424,0.06461458
718.4028,0.06478125
720.2308,0.06494792
722.4242,0.06511458
724.1487,0.06528125
726.5012,0.06544792
728.2893,0.06561458
730.5225,0.06578125
732.549,0.06594791
734.2339,0.06611458
735.9187,0.06628125
738.3347,0.06644791
740.544,0.06661458
742.4196,0.06678125
744.3269,0.06694791
746.1786,0.06711458
748.4515,0.06728125
750.9868,0.06744792
752.5285,0.06761459
754.6425,0.06778125
756.8439,0.06794792
758.8386,0.06811459
760.7858,0.06828125
762.9871,0.06844792
764.9024,0.06861458
766.7462,0.06878125
769.194,0.06894792
771.4271,0.06911458
773.6603,0.06928125
775.8697,0.06944791
777.9916,0.06961458
779.7639,0.06978125
781.7745,0.06994791
784.0078,0.07011458
786.3204,0.07028125
788.7523,0.07044791
791.0331,0.07061458
793.3696,0.07078125
795.1498,0.07094792
797.5101,0.07111458
799.9659,0.07128125
802.2785,0.07144792
804.4402,0.07161459
806.6018,0.07178125
809.1688,0.07194792
811.7835,0.07211458
814.2551,0.07228125
816.2896,0.07244792
818.483,0.07261458
820.6924,0.07278125
823.1004,0.07294792
825.3574,0.07311458
827.4396,0.07328125
829.8953,0.07344791
832.3033,0.07361458
834.3538,0.07378125
836.579,0.07394791
839.4639,0.07411458
841.8401,0.07428125
843.9779,0.07444791
846.1793,0.07461458
848.1503,0.07478125
850.6378,0.07494792
852.9822,0.07511459
855.2472,0.07528125
857.3771,0.0754375
859.642,0.07560416
861.7322,0.07577083
863.9653,0.0759375
866.0555,0.07610416
868.5271,0.07627083
871.4835,0.0764375
873.812,0.07660417
876.0134,0.07678125
878.2466,0.07694791
880.5513,0.07711458
883.2772,0.07728125
885.6456,0.07744791
888.2284,0.07761458
890.8589,0.07778125
892.9412,0.07794791
895.2697,0.07811458
897.7811,0.07828125
899.7838,0.07844792
902.2156,0.07861459
904.3773,0.07878125
906.9204,0.07894792
909.2252,0.07911459
911.5378,0.07928125
914.1127,0.07944792
916.9896,0.07961458
919.3182,0.07978125
921.3209,0.07994792
923.5461,0.08011458
925.6522,0.08028125
928.8629,0.08044791
931.2232,0.08061458
933.5439,0.08078125
936.1823,0.08094791
938.5347,0.08111458
940.9825,0.08128125
943.3826,0.08144791
945.576,0.08161458
948.4132,0.08179167
950.9564,0.08195833
953.3405,0.082125
955.6453,0.08229166
958.1407,0.08245833
960.8586,0.082625
963.6402,0.08279166
966.1198,0.08295833
968.0112,0.083125
970.5305,0.08329166
973.1849,0.08345833
976.1174,0.083625
978.3347,0.08379167
980.6712,0.08395834
983.1667,0.084125
985.5906,0.08429167
988.1735,0.08445833
990.359,0.084625
993.2836,0.08479167
996.0572,0.08495833
998.3699,0.085125
1000.73,0.08529167
1003.178,0.08544791
1005.53,0.08561458
1008.121,0.08578125
1010.521,0.08594792
1013.08,0.08611459
1015.743,0.08628125
1018.182,0.08644792
1020.845,0.08661458
1023.507,0.08678125
1025.748,0.08694792
1028.013,0.08711458
1030.596,0.08728125
1033.171,0.08744792
1035.77,0.08761458
1038.496,0.08778125
1041.237,0.08794791
1043.2,0.08811458
1045.609,0.08828125
1048.478,0.08844791
1051.307,0.08861458
1054.017,0.08878125
1056.568,0.08894791
1058.745,0.08911458
1061.416,0.08928125
1064.173,0.08944792
1066.629,0.08961459
1069.252,0.08978125
1072.009,0.08994792
1074.696,0.09011459
1076.523,0.09027083
1079.21,0.09044792
1081.729,0.09061458
1084.169,0.09078125
1087.038,0.09094792
1089.668,0.09111458
1091.79,0.09128125
1094.437,0.09144791
1096.892,0.09161458
1099.324,0.09178125
1101.923,0.09194791
1104.275,0.09211458
1107.224,0.09228125
1110.148,0.09244791
1113.065,0.09261458
1115.95,0.09278125
1118.271,0.09294792
1120.583,0.09311458
1122.729,0.09328125
1125.248,0.09344792
1128.022,0.09361459
1130.406,0.09378125
1133.14,0.09394792
1135.874,0.09411458
1138.536,0.09428125
1141.286,0.09444792
1143.877,0.09461458
1146.444,0.09478125
1149.066,0.09494792
1151.991,0.09511458
1154.534,0.09528125
1156.791,0.09544791
1159.485,0.09561458
1162.362,0.09578125
1164.897,0.0959375
1167.377,0.09610417
