sigma0,M,alpha,G,b,rho,solute,c,T,epsd,rp,rc,fp,beta,sigma,sigmae
12.08686856,3.733480087,0.331580798,27581651387,2.85E-10,1.24749E+12,5,0.010080623,304.2432617,0.813095232,1.71E-09,7.94E-09,0.005594002,0.41200624,228.8381363,227.4846525
19.80048473,3.154214854,0.617627108,22495635266,2.83E-10,7.92221E+12,2,0.028178072,335.0722179,0.227253436,1.18E-09,1.06E-08,0.025800372,0.379832376,107.7651237,117.5969253
24.67209029,2.433964962,0.605202657,27678116831,1.58E-10,4.8781E+11,3,0.013265535,324.3209785,0.800192893,1.22E-09,1.25E-08,0.021471506,0.682761835,70.31074536,75.87973541
17.83953841,2.968942095,0.643432191,24062684492,2.34E-10,8.03839E+12,3,0.01630304,460.7442802,0.433399319,1.80E-09,1.05E-08,0.007738567,0.494224015,102.8379628,112.4423016
26.66530726,2.084872234,0.641657288,22545765657,3.02E-10,4.40795E+12,3,0.021832061,553.0128517,0.746676641,1.30E-09,1.22E-08,0.029751112,0.683601754,108.7484615,108.6274671
25.34895556,3.092998017,0.430298924,29318569488,3.82E-10,7.26957E+12,2,0.025866302,594.6202191,0.345605518,1.64E-09,6.61E-09,0.019614677,0.568729788,338.4852329,346.7783629
26.09376841,3.204122143,0.642162232,23610867270,3.41E-10,5.22413E+12,5,0.015676273,468.5670252,0.200825003,1.80E-09,1.10E-08,0.007081216,0.309721932,217.9213427,217.0600778
10.43481761,2.590355912,0.514752865,25920680682,1.30E-10,7.1516E+12,4,0.017411073,462.8791558,0.088775165,1.90E-09,8.49E-09,0.021689528,0.38331375,130.1315047,128.566608
10.83690278,2.777415921,0.31565433,22938867525,1.94E-10,3.69885E+12,4,0.016062893,354.9096241,0.400182627,1.34E-09,7.94E-09,0.021092045,0.676211779,187.646145,183.5471172
18.94797091,2.1648195,0.595396095,21254112117,2.22E-10,7.98974E+12,4,0.028427024,332.5112614,0.590065882,1.25E-09,9.68E-09,0.004756694,0.378955295,145.9215563,147.6763855
29.89238204,2.331741998,0.49896278,27243329398,3.77E-10,8.37245E+12,5,0.010774725,494.5978196,0.43953596,1.52E-09,1.21E-08,0.018854891,0.515933903,182.6787561,183.8965419
14.49956289,3.459229994,0.661159229,26002141015,1.57E-10,1.62484E+12,5,0.027735294,537.6163081,0.301356367,1.91E-09,6.96E-09,0.023445783,0.612212781,388.6190629,386.3764777
15.23120201,3.947564243,0.335204376,27406988020,1.28E-10,5.78199E+11,1,0.022889471,599.1172241,0.143008642,1.08E-09,9.22E-09,0.004857488,0.453022572,154.7675688,148.9353385
26.64372006,2.385385272,0.330862783,28238700642,3.36E-10,3.49857E+12,1,0.023413433,523.3669716,0.88552625,1.79E-09,1.18E-08,0.027170222,0.577133546,203.7378496,199.3648917
23.41389711,3.773662094,0.452706864,28962089321,2.21E-10,2.46725E+12,2,0.0117272,425.1112126,0.413444959,1.43E-09,9.24E-09,0.00677242,0.415554139,74.34052335,67.10382931
18.61073436,3.318801362,0.685024899,23146504277,1.59E-10,8.89442E+11,5,0.017336783,369.2264593,0.426907683,1.03E-09,9.64E-09,0.010531852,0.606566665,224.528197,226.2671361
28.92444392,2.766396804,0.680264053,29598954817,1.21E-10,1.21013E+12,1,0.010767447,549.1096893,0.060172998,1.49E-09,8.82E-09,0.018449209,0.458947274,94.30565184,87.23182194
17.79964595,2.241381078,0.437888803,29711751759,3.22E-10,7.3913E+12,3,0.01185568,531.0412453,0.64552798,1.42E-09,6.80E-09,0.021787052,0.382360066,155.0557324,158.4682932
20.43744625,3.943725685,0.569183938,23158503448,3.43E-10,7.267E+12,1,0.029922191,394.0557064,0.388046004,1.54E-09,1.24E-08,0.019784191,0.386130447,312.4340173,314.0654188
14.00179748,3.383133361,0.31912331,22854192398,2.16E-10,5.46477E+12,0,0.02021145,599.3629701,0.827079672,1.58E-09,6.66E-09,0.015927461,0.383849553,132.6595907,138.5926984
26.91358666,3.337574826,0.623566622,21050411663,3.49E-10,7.75147E+12,5,0.023168905,446.7239309,0.289377224,1.86E-09,1.21E-08,0.00377599,0.455750671,285.7654128,283.0781919
19.92394136,3.304473029,0.52368764,24171001114,2.21E-10,5.97691E+12,0,0.013931348,545.4746396,0.901523199,1.69E-09,1.06E-08,0.008845459,0.30480912,77.82789141,73.08741596
22.91921192,3.896536345,0.454398385,29995949326,2.64E-10,7.89056E+12,2,0.014095215,427.7891749,0.34091856,1.66E-09,8.97E-09,0.023676089,0.354482476,161.590803,167.9026774
23.46986472,2.793604777,0.589529022,25403555781,2.18E-10,5.90112E+12,4,0.025483466,462.2710532,0.298500575,1.49E-09,1.08E-08,0.017385722,0.68300167,210.8647056,208.6668867
17.95063874,3.139645878,0.337373277,24918180045,3.26E-10,9.10098E+12,4,0.012058369,387.679162,0.912821024,1.60E-09,1.09E-08,0.025928117,0.536573486,217.9922322,215.5765915
10.22120078,2.646385084,0.584170991,20251927911,2.95E-10,5.37757E+12,3,0.015962383,464.9004884,0.033275934,1.91E-09,9.35E-09,0.015948699,0.367841608,94.45351769,100.9722517
11.16718033,2.125118748,0.565921935,23164718971,3.80E-10,98456657241,0,0.02811055,356.0649576,0.319234683,2.00E-09,8.02E-09,0.024752995,0.689696507,220.1234532,216.8846664
26.71956407,3.357759341,0.638958902,29089613642,2.65E-10,2.78773E+12,5,0.019419696,343.7887581,0.22638206,1.80E-09,9.16E-09,0.027018231,0.370546575,333.3205462,340.1814866
28.16502487,3.82920463,0.331265237,24692577740,1.83E-10,6.27173E+12,5,0.025122886,321.3754082,0.488580864,1.67E-09,1.02E-08,0.01492918,0.495823337,357.920621,364.8083174
17.54307132,2.633641064,0.352681235,23463395568,1.57E-10,8.02313E+12,2,0.027477643,313.3552564,0.764479742,1.16E-09,1.24E-08,0.011702779,0.357498119,40.51872352,43.66843281
13.19485613,3.848947866,0.338866419,23710888481,3.05E-10,3.5588E+12,4,0.028898413,343.2690546,0.905249307,1.26E-09,1.23E-08,0.013020462,0.572450597,290.6113613,296.9217588
12.57302547,2.917247877,0.612118868,27005888703,1.44E-10,8.58375E+12,2,0.020470174,535.0532723,0.844730809,1.10E-09,6.62E-09,0.008107908,0.418218105,66.57521053,75.86247427
12.96603039,3.319724913,0.452796764,21939656806,1.52E-10,1.30079E+12,2,0.011014057,520.5714833,0.630677908,1.61E-09,9.91E-09,0.001436472,0.692269464,27.77724317,26.90264227
19.18882971,3.398286109,0.464066039,23134898359,1.30E-10,5.83769E+12,3,0.015433669,501.1691585,0.223308242,1.24E-09,8.54E-09,0.007226282,0.607774921,76.39495631,85.29657197
22.44123495,2.954661066,0.3127473,21146259226,3.09E-10,8.08817E+12,2,0.01946842,537.4795318,0.913735221,1.08E-09,1.08E-08,0.007951126,0.697494513,75.00565199,70.87335078
14.97679122,2.19129306,0.580276174,27837944468,3.14E-10,5.86281E+12,4,0.020702685,446.4681655,0.222132768,1.69E-09,7.36E-09,0.027567332,0.510610622,254.7598514,260.1683512
22.19137801,2.860042959,0.341671617,22546786655,1.83E-10,8.33745E+12,0,0.011234892,469.4495006,0.944093542,1.86E-09,8.84E-09,0.023113043,0.637389304,117.0555808,125.0874438
11.91431345,2.667764893,0.341339168,29216086107,3.88E-10,8.79307E+12,4,0.016029724,420.3876713,0.596512993,1.52E-09,9.90E-09,0.012377367,0.48336775,205.6520094,202.3938124
26.53580464,3.116813479,0.316159637,22931229015,1.42E-10,9.01527E+12,4,0.019720553,507.7338147,0.582000916,1.13E-09,9.74E-09,0.021530198,0.512652341,156.8553906,149.7309117
24.07866057,3.346380059,0.699515508,25301867892,3.98E-10,3.49211E+11,3,0.016837357,534.8228705,0.057693023,1.30E-09,7.57E-09,0.013338708,0.69366957,247.3931494,251.9745174
21.5127842,3.510187925,0.414488613,29970241616,1.12E-10,3.46996E+12,1,0.011315695,390.2369376,0.249534143,1.55E-09,7.34E-09,0.020444601,0.579257236,173.9610178,179.0824817
18.65881911,3.63378947,0.584508937,24266504494,3.13E-10,7.83009E+12,5,0.021005749,494.8767337,0.213382859,1.49E-09,6.81E-09,0.023878631,0.587206195,488.7709327,492.4453077
26.587993,3.189411817,0.60614189,29151100143,3.00E-10,8.81567E+12,5,0.027223748,389.725946,0.248622999,1.57E-09,7.21E-09,0.003908779,0.601825992,382.0382864,391.4657551
11.50453268,3.017562725,0.522828847,23022766259,3.83E-10,4.52532E+12,2,0.014289146,480.264623,0.373968775,1.56E-09,1.17E-08,0.009980592,0.642309248,110.4713942,103.2397753
23.97688481,3.537752079,0.378828825,22431312782,1.46E-10,7.11499E+12,1,0.013048047,595.1116043,0.598873684,1.17E-09,8.32E-09,0.010990018,0.698461026,141.898713,146.863319
24.88165535,2.033004664,0.655245068,29651298735,2.13E-10,7.1802E+12,0,0.028442292,443.8074206,0.502988249,1.61E-09,1.07E-08,0.010669511,0.524846008,94.63150716,90.82232837
26.8179777,2.760381682,0.467416042,24797837425,3.94E-10,9.90074E+12,2,0.029980405,549.3530798,0.834167571,1.62E-09,7.66E-09,0.005167866,0.665990099,159.9830707,156.9876246
24.65833917,2.410595613,0.304804732,21390453312,1.60E-10,9.04061E+12,2,0.029014407,308.890728,0.558809664,1.73E-09,8.51E-09,0.015279225,0.471764591,60.01962886,65.67802359
19.11753244,2.165287435,0.622772769,22129260213,2.43E-10,1.4622E+12,2,0.018725406,556.8046664,0.761579259,1.60E-09,8.36E-09,0.005032704,0.488054674,44.13156246,38.53192433
28.57191154,3.408231649,0.571305565,28212524398,3.71E-10,5.86345E+12,0,0.017860112,489.7461109,0.953862098,1.47E-09,7.06E-09,0.003516283,0.362857208,158.7701785,153.907642
28.80935879,2.223920632,0.440242258,27611580801,1.42E-10,6.58165E+12,4,0.025135027,367.8636923,0.233829581,1.82E-09,8.36E-09,0.012188276,0.693178896,163.9308414,165.7073287
28.44926546,3.179738896,0.499967757,23211629037,2.40E-10,5.87928E+12,4,0.021636317,387.0710906,0.042941568,1.70E-09,9.10E-09,0.007385753,0.633247304,207.522455,209.7364625
14.54515745,2.230624885,0.513201339,23148646938,3.23E-10,5.67207E+12,0,0.018386556,524.1619434,0.830908663,1.63E-09,6.70E-09,0.025924204,0.687961964,234.5081317,232.8857699
18.33657607,2.609450767,0.3062607,25223865576,2.82E-10,5.10604E+12,3,0.021412861,451.8071279,0.870640879,1.07E-09,9.52E-09,0.003510543,0.434530537,75.31206223,75.4374523
27.88277217,3.261019611,0.312676676,24833067043,3.76E-10,4.24231E+12,5,0.026049178,333.8985917,0.286532061,1.67E-09,7.76E-09,0.024007312,0.657071004,521.1904495,523.7241426
25.48667589,3.0674148,0.541788705,24119699554,2.23E-10,5.7664E+12,2,0.02087837,480.7224661,0.157685298,1.39E-09,1.16E-08,0.025129789,0.457907651,80.60311103,79.82587607
29.81067129,2.61546811,0.464575126,27112753040,2.85E-10,8.88939E+12,1,0.022356645,412.5086321,0.845836835,1.97E-09,6.85E-09,0.004281376,0.569737953,215.1073368,211.2233458
11.55277601,2.275735043,0.386376753,24045882377,2.50E-10,8.90132E+12,1,0.017403901,352.7709301,0.827814294,1.60E-09,1.17E-08,0.027334456,0.526820905,147.7565581,156.0937458
25.1651704,2.070600177,0.315900826,23872578996,1.06E-10,2.0611E+12,3,0.025852672,333.181137,0.808405496,1.62E-09,8.34E-09,0.003156043,0.319963077,51.22615896,53.81631485
13.58189667,2.164374292,0.397272183,21050338351,2.82E-10,2.71918E+12,2,0.026774868,593.8315644,0.763547852,1.32E-09,9.86E-09,0.017376168,0.566014922,66.08800946,64.83803459
29.06875476,3.181945986,0.468584144,23165372229,3.11E-10,6.1006E+11,2,0.011158591,448.0491984,0.199950551,1.45E-09,1.23E-08,0.020807082,0.575918582,87.92680489,88.89288251
16.8841017,3.023683412,0.539487648,27694163858,2.99E-10,7.91602E+12,3,0.023926938,416.2775734,0.52994617,1.88E-09,1.11E-08,0.023062241,0.303078505,147.8379658,141.7163168
18.99066649,3.66077518,0.340526129,23728642818,3.93E-10,5.45101E+12,1,0.027748763,545.8942756,0.481369734,1.77E-09,1.23E-08,0.001289006,0.4150609,203.8329823,205.8553436
21.04443393,2.01136991,0.634229386,20958683512,3.59E-10,2.10206E+12,5,0.028529768,444.1044939,0.601631243,1.72E-09,6.37E-09,0.017740551,0.593984991,302.5492815,310.4949286
11.6571058,2.642706049,0.456328339,24489604006,3.13E-10,4.5118E+12,2,0.029529155,466.0181538,0.509132804,1.13E-09,1.01E-08,0.001496392,0.481007001,50.93110951,50.55714721
28.01792027,2.785577788,0.450913867,25269142641,3.87E-10,5.59933E+12,4,0.026004058,444.6281715,0.117338352,1.46E-09,6.69E-09,0.019843603,0.631590943,384.6951083,382.1461584
24.93731598,2.714242304,0.355563823,21426989973,2.15E-10,5.65046E+12,4,0.022720248,485.4132936,0.518622942,1.69E-09,8.15E-09,0.027655122,0.480832271,196.8882045,206.6763327
29.22213698,3.967971569,0.567717785,22889463904,3.47E-10,4.39351E+12,0,0.010520392,382.1444667,0.083638273,1.03E-09,7.24E-09,0.006124434,0.614220378,176.0808906,183.6772009
11.93560013,3.843460377,0.532269479,21961029596,3.74E-10,76899716953,2,0.022911232,360.3949864,0.780090346,1.46E-09,7.73E-09,0.018255404,0.522708633,198.3349297,204.4441154
13.43031593,3.964986099,0.578797191,20581384126,1.63E-10,7.13573E+12,5,0.015438239,381.4483525,0.849831976,1.55E-09,1.14E-08,0.021050547,0.387640977,254.368247,245.3930528
