Sample,,,
Time,Force,Stroke,Gauge
sec,N,mm,mm
0,0.1430511,0,0
0.01,0.1430511,0,0
0.02,0.1430511,2.08E-05,-0.00015831
0.03,0.1430511,4.17E-05,-0.00031662
0.04,0.1430511,0.000114583,-0.00031662
0.05,0.1589457,0.000239583,-0.00031662
0.06,0.1589457,0.00040625,-0.00031662
0.07,0.1589457,0.000572917,-0.000490189
0.08,0.1589457,0.00075,-0.000684738
0.09,0.1589457,0.000916667,-0.000684738
0.1,0.1430511,0.00109375,-0.000684738
0.11,0.1430511,0.001260417,-0.000879288
0.12,0.1430511,0.001427083,-0.000879288
0.13,0.1430511,0.001604167,-0.001045227
0.14,0.1430511,0.001770833,-0.001163483
0.15,0.1430511,0.0019375,-0.001163483
0.16,0.1430511,0.002114583,-0.001163483
0.17,0.1430511,0.00228125,-0.001237869
0.18,0.1430511,0.002447917,-0.001237869
0.19,0.1430511,0.002604167,-0.001274109
0.2,0.1430511,0.00278125,-0.001274109
0.21,0.1430511,0.002947917,-0.001293182
0.22,0.1430511,0.003114583,-0.001296997
0.23,0.1430511,0.00328125,-0.001296997
0.24,0.1430511,0.003447917,-0.001302719
0.25,0.1430511,0.003614583,-0.001325607
0.26,0.1430511,0.00378125,-0.001325607
0.27,0.1589457,0.003947916,-0.001325607
0.28,0.1589457,0.004114583,-0.001367569
0.29,0.1589457,0.00428125,-0.001367569
0.3,0.1589457,0.004447917,-0.001392365
0.31,0.1589457,0.004614583,-0.001392365
0.32,0.1589457,0.00478125,-0.001358032
0.33,0.1589457,0.004947917,-0.001358032
0.34,0.1589457,0.005114583,-0.001270294
0.35,0.1589457,0.00528125,-0.001167297
0.36,0.1589457,0.005447917,-0.001167297
0.37,0.1589457,0.005604167,-0.001167297
0.38,0.1589457,0.005760416,-0.001089096
0.39,0.1589457,0.005927083,-0.001089096
0.4,0.1589457,0.006083333,-0.001089096
0.41,0.1589457,0.006239583,-0.001024246
0.42,0.1589457,0.00640625,-0.000963211
0.43,0.1589457,0.0065625,-0.000963211
0.44,0.1589457,0.006729166,-0.000915527
0.45,0.1589457,0.006895833,-0.000915527
0.46,6.985664,0.007072917,-0.00091362
0.47,8.384387,0.007239583,-0.00091362
0.48,10.51426,0.007416666,-0.000965118
0.49,12.42955,0.007583333,-0.000965118
0.5,14.4879,0.007760417,-0.001052856
0.51,17.07872,0.007927083,-0.001152039
0.52,19.37548,0.00809375,-0.001152039
0.53,21.3623,0.008260417,-0.001152039
0.54,23.30144,0.0084375,-0.001232147
0.55,25.58231,0.008604167,-0.001232147
0.56,27.74397,0.008770833,-0.001268387
0.57,29.76259,0.008937499,-0.001247406
0.58,32.09114,0.009104166,-0.001247406
0.59,34.13359,0.009270833,-0.001247406
