Time,Temp
0.0,162.4
0.01,162.7
0.02,162.1
0.03,162.8
0.04,162.5
0.05,162.5
0.06,162.8
0.07,162.1
0.08,162.8
0.09,162.5
0.1,162.6
0.11,162.8
0.12,162.2
0.13,162.8
0.14,162.6
0.15,162.5
0.16,162.8
0.17,162.2
0.18,162.9
0.19,162.5
0.2,162.6
0.21,162.8
0.22,162.2
0.23,163.0
0.24,162.5
0.25,162.6
0.26,162.8
0.27,162.2
0.28,163.0
0.29,162.5
0.3,162.5
0.31,162.7
0.32,162.2
0.33,163.0
0.34,162.5
0.35,162.5
0.36,162.7
0.37,162.2
0.38,162.9
0.39,162.5
0.4,162.5
0.41,162.7
0.42,162.2
0.43,162.9
0.44,162.5
0.45,162.5
0.46,162.7
0.47,162.2
0.48,162.9
0.49,162.4
0.5,162.5
0.51,162.7
0.52,162.3
0.53,162.8
0.54,162.4
0.55,162.5
0.56,162.6
0.57,162.2
0.58,162.8
0.59,162.5
0.6,162.4
0.61,162.6
0.62,162.1
0.63,162.7
0.64,162.2
0.65,162.3
0.66,162.5
0.67,162.2
0.68,162.7
0.69,162.1
0.7,162.3
0.71,162.4
0.72,162.1
0.73,162.7
0.74,162.2
0.75,162.3
0.76,162.5
0.77,162.1
0.78,162.7
0.79,162.2
0.8,162.3
0.81,162.4
0.82,162.1
0.83,162.7
0.84,162.2
0.85,162.4
0.86,162.5
0.87,162.2
0.88,162.8
0.89,162.2
0.9,162.4
0.91,162.6
0.92,162.2
0.93,162.8
0.94,162.2
0.95,162.4
0.96,162.5
0.97,162.2
0.98,162.8
0.99,162.3
1.0,162.4
1.01,162.6
1.02,162.3
1.03,162.9
1.04,162.4
1.05,162.4
1.06,162.6
1.07,162.3
1.08,162.9
1.09,162.3
1.1,162.5
1.11,162.6
1.12,162.3
1.13,162.9
1.14,162.5
1.15,162.5
1.16,162.7
1.17,162.4
1.18,163.0
1.19,162.5
1.2,162.5
1.21,162.7
1.22,162.4
1.23,162.9
1.24,162.4
1.25,162.5
1.26,162.7
1.27,162.4
1.28,163.0
1.29,162.5
1.3,162.6
1.31,162.7
1.32,162.4
1.33,163.0
1.34,162.5
1.35,162.6
1.36,162.7
1.37,162.5
1.38,163.0
1.39,162.6
1.4,162.6
1.41,162.7
1.42,162.5
1.43,163.0
1.44,162.5
1.45,162.6
1.46,162.8
1.47,162.3
1.48,163.0
1.49,162.4
1.5,162.6
1.51,162.7
1.52,162.4
1.53,163.0
1.54,162.4
1.55,162.6
1.56,162.7
1.57,162.4
1.58,162.9
1.59,162.4
1.6,162.4
1.61,162.6
1.62,162.3
1.63,162.9
1.64,162.4
1.65,162.5
1.66,162.7
1.67,162.3
1.68,162.8
1.69,162.3
1.7,162.4
1.71,162.5
1.72,162.3
1.73,162.8
1.74,162.3
1.75,162.4
1.76,162.5
1.77,162.2
1.78,162.8
1.79,162.2
1.8,162.3
1.81,162.4
1.82,162.2
1.83,162.7
1.84,162.2
1.85,162.3
1.86,162.4
1.87,162.1
1.88,162.7
1.89,162.1
1.9,162.3
1.91,162.4
1.92,162.1
1.93,162.7
1.94,162.1
1.95,162.2
1.96,162.4
1.97,162.0
1.98,162.6
1.99,162.1
2.0,162.2
2.01,162.3
2.02,162.1
2.03,162.5
2.04,162.1
2.05,162.2
2.06,162.3
2.07,162.0
2.08,162.5
2.09,162.0
2.1,162.1
2.11,162.1
2.12,161.9
2.13,162.4
2.14,161.8
2.15,162.0
2.16,162.0
2.17,161.7
2.18,162.3
2.19,161.8
2.2,161.9
2.21,161.9
2.22,161.6
2.23,162.3
2.24,161.6
2.25,161.8
2.26,161.8
2.27,161.5
2.28,162.0
2.29,161.6
2.3,161.7
2.31,161.7
2.32,161.4
2.33,162.0
2.34,161.5
2.35,161.7
2.36,161.7
2.37,161.4
2.38,162.0
2.39,161.4
2.4,161.6
2.41,161.7
2.42,161.3
2.43,161.9
2.44,161.4
2.45,161.6
2.46,161.6
2.47,161.3
2.48,162.0
2.49,161.4
2.5,161.5
2.51,161.7
2.52,161.3
2.53,161.9
2.54,161.3
2.55,161.5
2.56,161.6
2.57,161.3
2.58,161.9
2.59,161.2
2.6,161.5
2.61,161.6
2.62,161.3
2.63,161.9
2.64,161.4
2.65,161.5
2.66,161.6
2.67,161.3
2.68,161.9
2.69,161.2
2.7,161.5
2.71,161.6
2.72,161.3
2.73,161.9
2.74,161.3
2.75,161.5
2.76,161.6
2.77,161.3
2.78,162.0
2.79,161.3
2.8,161.4
2.81,161.6
2.82,161.2
2.83,161.9
2.84,161.3
2.85,161.4
2.86,161.5
2.87,161.2
2.88,161.9
2.89,161.1
2.9,161.4
2.91,161.5
2.92,161.2
2.93,161.8
2.94,161.1
2.95,161.4
2.96,161.4
